1 2 * * * * * 8 * * 11 12 * 14 15 * * * 19 * 21 * 23 24 25 26 * 28 * 30 * * * 34 35 * * 38 * 40 * 42 * 44 * 46 47 * * 50
* 3 4 5 * 7 * 9 10 * * 13 14 * 16 * * 19 * * 22 23 * 25 26 27 * * 30 31 * * 34 * 36 37 * * 40 * * * * * * 47 * * 50 *
* * 5 6 7 * 9 * * 12 13 * 15 16 * * * 20 * 22 * * * 26 27 * * 30 * 32 * 34 * * * * 39 40 41 42 43 44 45 46 47 48 49 * 1 *
* 5 * 7 * 9 * * * * 14 * 16 17 18 19 20 * 22 * * * 26 27 * 29 30 31 32 33 * 35 * 37 * 39 * * 42 * * 45 46 47 * 49 * 1 2 *
5 6 * 8 * * 11 * 13 * 15 16 17 18 19 * 21 22 23 * 25 * * * * * * * 33 * * * 37 38 * * * * 43 * * 46 47 48 * * * 2 * *
* * * * 10 11 * 13 * * * * 18 19 * 21 22 23 * 25 26 * 28 29 * 31 32 * * * 36 37 * 39 * * 42 43 * * 46 47 * 49 50 * * 3 4 5
* * * 10 * 12 * 14 * * 17 18 19 * * * 23 * 25 * * * * * * 32 33 * 35 36 37 38 * 40 * * * * * 46 * 48 49 * 1 * * 4 * 6
* 9 10 * 12 13 * 15 * 17 18 * 20 21 * 23 * 25 * * * 29 * 31 32 33 34 35 * * 38 39 40 * * * * * 46 47 * 49 50 * 2 * * 5 * *
9 10 11 * 13 * 15 16 17 * 19 20 21 22 * 24 * * 27 * 29 30 31 * 33 * 35 * * * * * * 42 43 44 * * * * * 50 1 * * 4 * * * 8
* * 12 * 14 15 * * 18 19 20 * 22 23 * * * 27 28 29 * 31 32 33 34 35 36 37 * * 40 41 * * * 45 46 47 * * 50 1 * * * 5 6 7 8 9
* 12 * * * 16 17 18 19 * * 22 23 24 * * 27 * 29 30 * * 33 * 35 36 37 38 * 40 * 42 43 * * * * 48 * * 1 2 * * 5 6 7 * 9 10
12 * * 15 * 17 18 * 20 21 * 23 * 25 26 27 * 29 * * 32 * * * * 37 * * * * 42 43 * * * 47 * 49 * 1 2 3 * * * * * * 10 11
