* * 13 12 11 10 * * * 6 * * 3 * *
14 13 * * * 9 * * * * 4 * 2 1 *
13 * * 10 * 8 7 * * 4 3 * * 15 *
* 11 10 * 8 * 6 5 4 3 2 1 * * *
11 * * 8 * 6 5 4 * * 1 * * 13 *
* 9 * 7 6 5 * * 2 * 15 14 * * 11
* 8 7 6 * 4 * 2 1 * 14 13 12 11 *
* * * * 4 3 * * * * 13 12 * * 9
* 6 5 * * * * * * * 12 * * * 8
6 * * 3 * * * * 13 12 * 10 * * *
5 4 3 * * 15 14 13 * * 10 9 * * 6
4 3 2 * * * * 12 * 10 9 8 7 * *
3 2 * * * 13 * 11 * * 8 7 * * *
* 1 15 14 13 * * 10 * 8 7 * * * *
1 * * * * * * * 8 7 6 * 4 * 2
