* 24 23 22 21 20 * * * 16 15 * 13 * * 10 9 * * 6 * * * 2 *
24 23 * * 20 * * * * 15 14 13 * 11 * 9 8 7 * 5 * 3 * 1 25
* * 21 * 19 * * 16 15 14 13 * * 10 * 8 7 * 5 4 3 2 1 * *
22 21 * * 18 17 16 * 14 13 * 11 10 9 8 7 * * * * * 1 25 24 *
21 * 19 * 17 16 * 14 13 * * 10 * * * 6 * 4 3 2 1 25 * * 22
20 * 18 * * * * 13 * * 10 9 8 7 * 5 * 3 2 * * * * * *
* * 17 * 15 14 * 12 11 * * * * * 5 * 3 2 * * * 23 * * *
* 17 16 15 * * * * 10 9 * 7 6 5 * 3 2 1 * 24 23 * * * 19
* 16 * 14 13 * 11 * * * 7 6 5 * * 2 1 25 * 23 22 21 20 19 18
* * * * 12 11 10 9 8 * 6 * 4 * * 1 25 24 * * * 20 * 18 17
15 14 * 12 * 10 * 8 * 6 5 4 3 * 1 25 24 23 * 21 20 * 18 17 *
* 13 * 11 10 * * * 6 * 4 3 2 * * * 23 22 21 20 19 * 17 * *
13 * * 10 * * 7 * 5 4 * * * 25 * * * 21 * * 18 17 16 * *
* * 10 9 * 7 * 5 * 3 * 1 25 * 23 * * * * 18 17 16 15 * *
11 10 9 * * * * * * 2 1 25 24 23 22 21 * 19 * 17 16 15 * * *
10 * * * * * 4 * 2 1 * * 23 * * * * * * 16 15 14 13 12 *
9 * * 6 * * 3 2 1 25 24 * * * * 19 * * * 15 14 13 * * *
* 7 * 5 4 3 2 1 25 24 * 22 21 20 19 * 17 * * 14 13 12 11 10 9
7 * 5 4 * 2 1 25 24 23 * * * 19 * * * 15 14 * * * * * 8
6 5 * * * 1 25 * 23 22 * * * 18 17 * 15 * * 12 * * * * *
* 4 * 2 * * * 23 * 21 * * * 17 * * * 13 12 11 10 * 8 7 6
* * 2 1 * 24 23 * 21 * * 18 17 16 * * 13 12 * 10 * 8 * 6 *
* * 1 25 * 23 22 21 * 19 18 * 16 15 * * 12 11 * * 8 * * * *
* 1 25 * * * * 20 * * * * * 14 * 12 * * * 8 7 * * 4 *
* * * * 22 * * 19 18 17 * 15 * * 12 * * * 8 * * * * 3 2
