3 * 24 * * * 18 21 * 1 2 * * 23 16 * 8 7 5 * 14 * * 13 9
* 14 18 * * * 12 * 19 20 21 * 4 * 10 * * * 24 * * * 6 7 3
11 3 * 2 19 * * 4 * * 10 23 * * 24 * * * * * 22 * 20 * 17
* 2 6 * 18 * 25 * 7 8 9 22 * 5 * * * 14 * * 21 * 19 20 16
8 25 4 24 * 11 * * 5 6 * 20 * 3 * * 13 12 * * 19 * 17 18 14
* 11 * 10 * * * * * * * * * 14 * * 24 23 * * 5 8 3 * 25
* * 12 * 24 * 6 * 13 * 15 * * * 4 * 21 20 18 * * 5 25 * *
* 6 * 5 22 17 * 7 11 * * 1 21 9 * 15 * * * 8 25 * 23 * *
17 * * * * 20 7 * * * 16 4 * * 5 18 22 21 19 11 3 * 1 2 *
9 1 * 25 * * 24 * 6 * 8 21 16 4 * 10 14 13 11 * * * * 19 *
* 22 * * 13 * * * * * 4 17 12 * * * * 9 7 * 16 19 * 15 *
21 13 17 * 4 * 11 * * 19 * * 3 16 * 22 * 25 23 15 7 10 * 6 *
* 19 23 * 10 5 * * * 25 1 * 9 * * 3 * * * 21 * * * 12 *
* 15 19 * 6 * 13 16 20 21 22 * 5 * * * 3 * * 17 * * * 8 *
4 21 25 20 * * * 22 * 2 * 16 * * 17 5 * * 6 23 * 18 * 14 *
* 23 * * * 9 21 * 3 4 * * 13 * 19 7 * 10 8 25 17 20 15 16 *
* * * 3 20 * 2 * * 10 11 * 19 7 * * 17 * * * 23 * 21 * *
* 10 14 9 * 21 * * * * * * * 13 * * * * * 12 4 7 * * 24
* * 16 11 3 * 10 13 17 * * * 2 15 * 21 25 24 22 14 6 9 * * *
24 * * 15 7 * * 17 21 22 * 11 * * * 25 4 3 1 * 10 13 8 * 5
1 * * * 9 4 * 19 * * 25 * * 21 * * * 5 * * * 15 * * *
* 24 3 * 15 10 22 * * 5 6 * 9 2 * * * * * * * * * * 13
25 17 21 16 * * * * 22 23 24 12 * 20 * * * * * 19 11 * * * *
* 5 9 * 21 * * * * * 12 * 20 8 1 * 18 * * * * 2 22 23 19
15 * * 6 23 18 * 8 12 * * 2 * * * * * * * * * 4 * 25 *
