* * * * * * * * 2 11 3 24 * * 19 * * 13 4 22 1 5 9 23 *
24 18 25 * 4 * * 15 10 * * * * 1 * * * * * 5 * * 17 * *
2 21 * 11 * 19 1 * 13 22 * * * 4 * * * * 15 8 * 16 * 9 25
* * * 18 14 * * * 20 * * 17 13 11 * * * 6 * * * 23 * 16 7
14 * * 23 19 6 * * 25 * 1 22 * 16 * * 10 * * 20 24 * 7 21 *
* 4 * 19 * 2 * 1 21 5 * 18 14 * * 25 6 * * * 20 24 * * 8
* * * * 17 * 11 3 * 7 * 20 * 14 15 * 8 * * 18 * 1 5 * *
* * * 17 13 25 7 24 19 3 * * * 10 * 23 4 * * * * * 1 * *
* * * 14 10 22 4 * * * * * 9 7 8 20 * * * 11 15 * 23 12 *
* 16 * 6 2 * 21 * 8 * 9 * 1 * * * * * * * 7 * 15 4 20
18 12 19 * * * 17 9 4 * 5 1 22 * 21 8 * * 6 * 3 * 11 * 16
3 22 4 12 8 * * * * * * 11 7 5 * * 24 * 16 * 13 17 * 10 *
* 9 * * 20 * 14 6 * * 2 * 19 * * 5 * 12 * * 25 * 8 * *
1 20 2 * 6 * 25 * 12 21 13 9 5 3 4 16 * 23 14 7 * 15 * 8 *
* 19 1 * * 17 24 16 11 * * 8 4 2 * 15 21 22 * 6 * 14 18 * *
6 * * * 11 23 * * 17 * * 14 * 8 * 21 2 * 19 12 * 20 * * *
* * 24 * 3 * 22 14 9 18 * 6 2 * 1 * 19 * * * 8 12 16 5 21
17 * 18 * 22 9 16 8 * 12 * 25 21 * * 7 * 14 * * 2 6 10 24 15
* * * 4 * * 19 11 6 15 7 3 * * 23 10 16 17 8 1 5 * * 2 18
* * 8 * 12 24 * 23 * * 19 15 * 9 10 * 3 4 20 13 17 21 25 * 5
21 * * * 1 13 * 12 * * 8 4 25 * * 11 * 18 * * * * 14 * *
13 * * * * * 12 * 24 * * * * * 16 3 9 10 1 19 23 2 * 20 *
* 23 5 13 * * 3 20 * 24 * * 8 * 7 19 25 * 17 * 14 * 22 * *
* 13 * 3 * 11 * 10 * 14 * * 23 21 22 9 * 16 7 * 4 8 12 1 *
* 5 * 20 16 3 10 * 22 6 23 19 * 13 14 * * * * * 21 25 4 18 9
